flag;owner;name;me;owner_city;number;gt;state;port;imo;type;address;country;owner_country;mmsi;email;year;phone;dwt;owner_site
Россия;"""Северо-Западное пароходство"", ОАО";SORMOVSKIY 3057;6NVDS 48A-2U; Санкт-Петербург;853325;3041;;Санкт-Петербург;8419635;Ген. груз; 190000, ул.Большая Морская, 37;Португалия; Россия, ;273325400;;1987; +7(812)380-23-55, ;3134;http://www.nwship.com
Россия;"""Судоходное Агенство Хорп-Шиппинг"", ООО";CORUS 1;NVDS; Астрахань;845865;1627;Эксплуатируется;Астрахань;8861682;Ген. груз; 414006, ул.Дзержинского д.61А;; Россия, ;273345130;;1985; (8512)  56-05-92, ;2049;
Россия;"""SAILBEAUTY MARITIME"", LTD";SAILBEAUTY;6NVD48AU2; Маджуро;896231;2571;Эксплуатируется;Таганрог;8846761;Ген. груз;" Trust Company Comnplex, Ajeltake Road, Ajeltake Island, Majuro, Marshall Islands MH 96960; c/o Sailtrade Denizcilik ve Ticaret Ltd.Sti.: Nispetiye cad. Dilhayat Sokak No.24 34337, Etiler, Istanbul, Turkey";Румыния; Маршалловы острова, ;273335410;;1988; +7 90(212) 2879721, ;3104;
Россия;"""ENDTHWAITE"", LTD";MB 1204;----; Лимассол;866490;726;;Астрахань;8986315;Буксир;" Themis Tower Flour 6 Corn. Anastasion Shioukri and Olimpion str., 3035 Limassol, P.O. Box 54316, Cyprus;

 ООО СК Арк: Россия, 127299 Москва, улица Космонавта Волкова, 12, офис 206";; Кипр, ;273434970;;1987; +7(495) 2588773, 2588774, ;216;
Россия;;PORT OLYA 3;----; Лимассол;;4879;Эксплуатируется;Неизвестен;9481910;Ген. груз;" Themis Tower Flour 6 Corn. Anastasion Shioukri and Olimpion str., 3035 Limassol, P.O. Box 54316, Cyprus;

 ООО СК Арк: Россия, 127299 Москва, улица Космонавта Волкова, 12, офис 206";; Кипр, ;273371920;;2011; +7(495) 2588773, 2588774, ;5185;
;;;; Лимассол;;;;;9645035;;" Themis Tower Flour 6 Corn. Anastasion Shioukri and Olimpion str., 3035 Limassol, P.O. Box 54316, Cyprus;

 ООО СК Арк: Россия, 127299 Москва, улица Космонавта Волкова, 12, офис 206";; Кипр, ;;;; +7(495) 2588773, 2588774, ;;
Казахстан;"""Terminalex LLC"", Ltd";ABAI;Wartsila; Актау;040474;7224;Эксплуатируется;Актау;9334600;Танкер; Aktau, Kazakhstan, 130000 Industrial Zone;Россия; Казахстан, ;9334600;;2005; +7 (7292) 579-702, ;12368;
Россия;"""Астрамарин"", ООО";ABESKUN;----; Астрахань;704366;496;;Неизвестен;7036723;Танкер; 414024 , ул.Набережная Приволжского затона, 17, корпус 1;Турция; Россия, ;273354280;;1970; +7 (8512) 62-44-44, ;965;
;;"<div class=""sh-flag f32 noPrint"" title=""Россия, Санкт-Петербург""><span class=""flag ru""></span><span>RU</span></div>";; Астрахань;;;;;8857071;; 414024 , ул.Набережная Приволжского затона, 17, корпус 1;; Россия, ;;;; +7 (8512) 62-44-44, ;;
Палау;"""COTRIS"", LTD";AVANGARD;6NVD 48 A 2U; Никосия;825081;4404;Эксплуатируется;Неизвестен;8889438;Ген. груз; Mitsi Building 1, 1st Floor, Office 4, Eleftherias Square, Nicosia, Cyprus;Румыния; Кипр, ;511280000;;1982; 357(2) 674949, ;3070;
Россия;"""Фирма Бриз"", ООО";AVIOR;6NVD 48-2U; Санкт-Петербург;855918;2463;Эксплуатируется;Калининград;8844139;Ген. груз; 192236, ул. Софийская д.14 к. 2Б оф. 316;; Россия, ;273352420;;1985; +7(812)322-98-55, +7(909)400-07-06, ;3205;
